2019-12-27 00:00:00 Launching analysis for 1401383834 with LEAN Engine v2.5.0.0
2020-11-11 16:00:00 2020-11-11 15:55:00 >> Portfolio Value: $111584.44, Cash: $88274.47
2020-11-11 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $115.97
2020-11-12 16:00:00 2020-11-12 15:55:00 >> Portfolio Value: $112291.96, Cash: $88274.47
2020-11-12 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $119.49
2020-11-13 16:00:00 2020-11-13 15:55:00 >> Portfolio Value: $112235.68, Cash: $88274.47
2020-11-13 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $119.21
2020-11-16 16:00:00 2020-11-16 15:55:00 >> Portfolio Value: $112245.73, Cash: $88274.47
2020-11-16 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $119.26
2020-11-16 16:00:00 2020-11-16 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $120.30 (+10% from last buy)
2020-11-17 16:00:00 2020-11-17 15:55:00 >> Portfolio Value: $112454.77, Cash: $88274.47
2020-11-17 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $120.30
2020-11-18 16:00:00 2020-11-18 15:55:00 >> Portfolio Value: $112271.86, Cash: $88274.47
2020-11-18 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $119.39
2020-11-19 16:00:00 2020-11-19 15:55:00 >> Portfolio Value: $111998.50, Cash: $88274.47
2020-11-19 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $118.03
2020-11-20 16:00:00 2020-11-20 15:55:00 >> Portfolio Value: $112121.11, Cash: $88274.47
2020-11-20 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $118.64
2020-11-23 16:00:00 2020-11-23 15:55:00 >> Portfolio Value: $111859.81, Cash: $88274.47
2020-11-23 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $117.34
2020-11-24 16:00:00 2020-11-24 15:55:00 >> Portfolio Value: $111158.32, Cash: $88274.47
2020-11-24 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $113.85
2020-11-25 16:00:00 2020-11-25 15:55:00 >> Portfolio Value: $111423.64, Cash: $88274.47
2020-11-25 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $115.17
2020-11-27 13:00:00 2020-11-27 12:55:00 >> Portfolio Value: $111596.50, Cash: $88274.47
2020-11-27 13:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $116.03
2020-11-30 16:00:00 2020-11-30 15:55:00 >> Portfolio Value: $111709.06, Cash: $88274.47
2020-11-30 16:00:00    AAPL: 201.0 shares, Avg Price: $88.15, Current: $116.59
2020-12-01 10:00:00 2020-12-01 10:00:00 >> Monthly rebalancing to target allocations
2020-12-01 10:00:00 2020-12-01 10:00:00 >> Skipping MSFT: No data available.
2020-12-01 10:00:00 2020-12-01 10:00:00 >> Skipping XOM: No data available.
2020-12-01 10:00:00 2020-12-01 10:00:00 >> Skipping GOLD: No data available.
2020-12-01 10:00:00 2020-12-01 10:00:00 >> Skipping NEE: No data available.
2020-12-01 16:00:00 2020-12-01 15:55:00 >> Portfolio Value: $112202.52, Cash: $89821.12
2020-12-01 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $119.05
2020-12-02 16:00:00 2020-12-02 15:55:00 >> Portfolio Value: $112892.48, Cash: $89821.12
2020-12-02 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $122.72
2020-12-03 16:00:00 2020-12-03 15:55:00 >> Portfolio Value: $112960.16, Cash: $89821.12
2020-12-03 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $123.08
2020-12-04 16:00:00 2020-12-04 15:55:00 >> Portfolio Value: $112933.84, Cash: $89821.12
2020-12-04 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $122.94
2020-12-07 16:00:00 2020-12-07 15:55:00 >> Portfolio Value: $112804.12, Cash: $89821.12
2020-12-07 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $122.25
2020-12-08 16:00:00 2020-12-08 15:55:00 >> Portfolio Value: $113086.12, Cash: $89821.12
2020-12-08 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $123.75
2020-12-09 16:00:00 2020-12-09 15:55:00 >> Portfolio Value: $113204.56, Cash: $89821.12
2020-12-09 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $124.38
2020-12-10 16:00:00 2020-12-10 15:55:00 >> Portfolio Value: $112715.76, Cash: $89821.12
2020-12-10 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $121.78
2020-12-11 16:00:00 2020-12-11 15:55:00 >> Portfolio Value: $112990.24, Cash: $89821.12
2020-12-11 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $123.24
2020-12-14 16:00:00 2020-12-14 15:55:00 >> Portfolio Value: $112834.20, Cash: $89821.12
2020-12-14 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $122.41
2020-12-15 16:00:00 2020-12-15 15:55:00 >> Portfolio Value: $112715.76, Cash: $89821.12
2020-12-15 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $121.78
2020-12-16 16:00:00 2020-12-16 15:55:00 >> Portfolio Value: $113862.56, Cash: $89821.12
2020-12-16 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $127.88
2020-12-17 16:00:00 2020-12-17 15:55:00 >> Portfolio Value: $113849.40, Cash: $89821.12
2020-12-17 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $127.81
2020-12-18 16:00:00 2020-12-18 15:55:00 >> Portfolio Value: $114016.72, Cash: $89821.12
2020-12-18 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $128.70
2020-12-21 16:00:00 2020-12-21 15:55:00 >> Portfolio Value: $113632.26, Cash: $89821.12
2020-12-21 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $126.66
2020-12-22 16:00:00 2020-12-22 15:55:00 >> Portfolio Value: $113928.36, Cash: $89821.12
2020-12-22 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $128.23
2020-12-22 16:00:00 2020-12-22 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $131.88 (+10% from last buy)
2020-12-23 16:00:00 2020-12-23 15:55:00 >> Portfolio Value: $114614.56, Cash: $89821.12
2020-12-23 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $131.88
2020-12-23 16:00:00 2020-12-23 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $130.96 (+10% from last buy)
2020-12-24 13:00:00 2020-12-24 12:55:00 >> Portfolio Value: $114441.60, Cash: $89821.12
2020-12-24 13:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $130.96
2020-12-24 13:00:00 2020-12-24 13:00:00 >> SIGNAL: Consider selling covered call on AAPL at $131.97 (+10% from last buy)
2020-12-28 16:00:00 2020-12-28 15:55:00 >> Portfolio Value: $114631.48, Cash: $89821.12
2020-12-28 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $131.97
2020-12-28 16:00:00 2020-12-28 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $136.69 (+10% from last buy)
2020-12-29 16:00:00 2020-12-29 15:55:00 >> Portfolio Value: $115518.84, Cash: $89821.12
2020-12-29 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $136.69
2020-12-29 16:00:00 2020-12-29 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $134.87 (+10% from last buy)
2020-12-30 16:00:00 2020-12-30 15:55:00 >> Portfolio Value: $115176.68, Cash: $89821.12
2020-12-30 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $134.87
2020-12-30 16:00:00 2020-12-30 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $133.72 (+10% from last buy)
2020-12-31 16:00:00 2020-12-31 15:55:00 >> Portfolio Value: $114960.48, Cash: $89821.12
2020-12-31 16:00:00    AAPL: 188.0 shares, Avg Price: $88.15, Current: $133.72
2020-12-31 16:00:00 2020-12-31 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $132.69 (+10% from last buy)
2021-01-04 10:00:00 2021-01-04 10:00:00 >> Monthly rebalancing to target allocations
2021-01-04 10:00:00 2021-01-04 10:00:00 >> Skipping MSFT: No data available.
2021-01-04 10:00:00 2021-01-04 10:00:00 >> Skipping XOM: No data available.
2021-01-04 10:00:00 2021-01-04 10:00:00 >> Skipping GOLD: No data available.
2021-01-04 10:00:00 2021-01-04 10:00:00 >> Skipping NEE: No data available.
2021-01-04 16:00:00 2021-01-04 15:55:00 >> Portfolio Value: $114765.84, Cash: $91943.16
2021-01-04 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $132.69
2021-01-05 16:00:00 2021-01-05 15:55:00 >> Portfolio Value: $114201.68, Cash: $91943.16
2021-01-05 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $129.41
2021-01-06 16:00:00 2021-01-06 15:55:00 >> Portfolio Value: $114476.88, Cash: $91943.16
2021-01-06 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $131.01
2021-01-07 16:00:00 2021-01-07 15:55:00 >> Portfolio Value: $113718.36, Cash: $91943.16
2021-01-07 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $126.60
2021-01-08 16:00:00 2021-01-08 15:55:00 >> Portfolio Value: $114461.40, Cash: $91943.16
2021-01-08 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $130.92
2021-01-11 16:00:00 2021-01-11 15:55:00 >> Portfolio Value: $114655.76, Cash: $91943.16
2021-01-11 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $132.05
2021-01-12 16:00:00 2021-01-12 15:55:00 >> Portfolio Value: $114127.72, Cash: $91943.16
2021-01-12 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $128.98
2021-01-13 16:00:00 2021-01-13 15:55:00 >> Portfolio Value: $114096.76, Cash: $91943.16
2021-01-13 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $128.80
2021-01-14 16:00:00 2021-01-14 15:55:00 >> Portfolio Value: $114456.24, Cash: $91943.16
2021-01-14 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $130.89
2021-01-15 16:00:00 2021-01-15 15:55:00 >> Portfolio Value: $114115.68, Cash: $91943.16
2021-01-15 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $128.91
2021-01-19 16:00:00 2021-01-19 15:55:00 >> Portfolio Value: $113811.24, Cash: $91943.16
2021-01-19 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $127.14
2021-01-20 16:00:00 2021-01-20 15:55:00 >> Portfolio Value: $113929.92, Cash: $91943.16
2021-01-20 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $127.83
2021-01-21 16:00:00 2021-01-21 15:55:00 >> Portfolio Value: $114652.32, Cash: $91943.16
2021-01-21 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $132.03
2021-01-22 16:00:00 2021-01-22 15:55:00 >> Portfolio Value: $115484.80, Cash: $91943.16
2021-01-22 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $136.87
2021-01-25 16:00:00 2021-01-25 15:55:00 >> Portfolio Value: $115863.20, Cash: $91943.16
2021-01-25 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $139.07
2021-01-26 16:00:00 2021-01-26 15:55:00 >> Portfolio Value: $116525.40, Cash: $91943.16
2021-01-26 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $142.92
2021-01-27 16:00:00 2021-01-27 15:55:00 >> Portfolio Value: $116566.68, Cash: $91943.16
2021-01-27 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $143.16
2021-01-28 16:00:00 2021-01-28 15:55:00 >> Portfolio Value: $116377.48, Cash: $91943.16
2021-01-28 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $142.06
2021-01-29 16:00:00 2021-01-29 15:55:00 >> Portfolio Value: $115522.64, Cash: $91943.16
2021-01-29 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $137.09
2021-02-01 10:00:00 Warning: Portfolio rebalance result ignored as it resulted in a single share trade recommendation which can generate high fees. To disable minimum order size checks please set Settings.MinimumOrderMarginPortfolioPercentage = 0.
2021-02-01 10:00:00 2021-02-01 10:00:00 >> Monthly rebalancing to target allocations
2021-02-01 10:00:00 2021-02-01 10:00:00 >> Skipping MSFT: No data available.
2021-02-01 10:00:00 2021-02-01 10:00:00 >> Skipping XOM: No data available.
2021-02-01 10:00:00 2021-02-01 10:00:00 >> Skipping GOLD: No data available.
2021-02-01 10:00:00 2021-02-01 10:00:00 >> Skipping NEE: No data available.
2021-02-01 16:00:00 2021-02-01 15:55:00 >> Portfolio Value: $114640.28, Cash: $91943.16
2021-02-01 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $131.96
2021-02-02 16:00:00 2021-02-02 15:55:00 >> Portfolio Value: $115015.24, Cash: $91943.16
2021-02-02 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $134.14
2021-02-03 16:00:00 2021-02-03 15:55:00 >> Portfolio Value: $115161.44, Cash: $91943.16
2021-02-03 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $134.99
2021-02-04 16:00:00 2021-02-04 15:55:00 >> Portfolio Value: $114980.84, Cash: $91943.16
2021-02-04 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $133.94
2021-02-05 16:00:00 2021-02-05 15:55:00 >> Portfolio Value: $115608.64, Cash: $91977.56
2021-02-05 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $137.39
2021-02-08 16:00:00 2021-02-08 15:55:00 >> Portfolio Value: $115500.28, Cash: $91977.56
2021-02-08 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $136.76
2021-02-09 16:00:00 2021-02-09 15:55:00 >> Portfolio Value: $115526.08, Cash: $91977.56
2021-02-09 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $136.91
2021-02-10 16:00:00 2021-02-10 15:55:00 >> Portfolio Value: $115371.28, Cash: $91977.56
2021-02-10 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $136.01
2021-02-11 16:00:00 2021-02-11 15:55:00 >> Portfolio Value: $115264.64, Cash: $91977.56
2021-02-11 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $135.39
2021-02-12 16:00:00 2021-02-12 15:55:00 >> Portfolio Value: $115219.92, Cash: $91977.56
2021-02-12 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $135.13
2021-02-16 16:00:00 2021-02-16 15:55:00 >> Portfolio Value: $115261.20, Cash: $91977.56
2021-02-16 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $135.37
2021-02-17 16:00:00 2021-02-17 15:55:00 >> Portfolio Value: $114886.24, Cash: $91977.56
2021-02-17 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $133.19
2021-02-18 16:00:00 2021-02-18 15:55:00 >> Portfolio Value: $114482.04, Cash: $91977.56
2021-02-18 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $130.84
2021-02-19 16:00:00 2021-02-19 15:55:00 >> Portfolio Value: $114287.68, Cash: $91977.56
2021-02-19 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $129.71
2021-02-22 16:00:00 2021-02-22 15:55:00 >> Portfolio Value: $114315.20, Cash: $91977.56
2021-02-22 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $129.87
2021-02-23 16:00:00 2021-02-23 15:55:00 >> Portfolio Value: $113649.56, Cash: $91977.56
2021-02-23 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $126.00
2021-02-24 16:00:00 2021-02-24 15:55:00 >> Portfolio Value: $113625.48, Cash: $91977.56
2021-02-24 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $125.86
2021-02-24 16:00:00 2021-02-24 16:00:00 >> DCA: Bought additional 17 shares of AAPL at $125.35 (price dropped 5% below last buy)
2021-02-25 16:00:00 2021-02-25 15:55:00 >> Portfolio Value: $113537.76, Cash: $91977.56
2021-02-25 16:00:00    AAPL: 172.0 shares, Avg Price: $88.15, Current: $125.35
2021-02-26 16:00:00 2021-02-26 15:55:00 >> Portfolio Value: $112724.79, Cash: $89857.68
2021-02-26 16:00:00    AAPL: 189.0 shares, Avg Price: $91.43, Current: $120.99
2021-03-01 10:00:00 2021-03-01 10:00:00 >> Monthly rebalancing to target allocations
2021-03-01 10:00:00 2021-03-01 10:00:00 >> Skipping MSFT: No data available.
2021-03-01 10:00:00 2021-03-01 10:00:00 >> Skipping XOM: No data available.
2021-03-01 10:00:00 2021-03-01 10:00:00 >> Skipping GOLD: No data available.
2021-03-01 10:00:00 2021-03-01 10:00:00 >> Skipping NEE: No data available.
2021-03-01 16:00:00 2021-03-01 15:55:00 >> Portfolio Value: $112774.82, Cash: $90341.72
2021-03-01 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $121.26
2021-03-02 16:00:00 2021-03-02 15:55:00 >> Portfolio Value: $113982.87, Cash: $90341.72
2021-03-02 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $127.79
2021-03-03 16:00:00 2021-03-03 15:55:00 >> Portfolio Value: $113488.92, Cash: $90341.72
2021-03-03 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $125.12
2021-03-04 16:00:00 2021-03-04 15:55:00 >> Portfolio Value: $112922.82, Cash: $90341.72
2021-03-04 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.06
2021-03-05 16:00:00 2021-03-05 15:55:00 >> Portfolio Value: $112565.77, Cash: $90341.72
2021-03-05 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $120.13
2021-03-08 16:00:00 2021-03-08 15:55:00 >> Portfolio Value: $112804.42, Cash: $90341.72
2021-03-08 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $121.42
2021-03-09 16:00:00 2021-03-09 15:55:00 >> Portfolio Value: $111868.32, Cash: $90341.72
2021-03-09 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $116.36
2021-03-10 16:00:00 2021-03-10 15:55:00 >> Portfolio Value: $112742.45, Cash: $90341.72
2021-03-10 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $121.08
2021-03-11 16:00:00 2021-03-11 15:55:00 >> Portfolio Value: $112538.02, Cash: $90341.72
2021-03-11 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $119.98
2021-03-12 16:00:00 2021-03-12 15:55:00 >> Portfolio Value: $112904.32, Cash: $90341.72
2021-03-12 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $121.96
2021-03-15 16:00:00 2021-03-15 15:55:00 >> Portfolio Value: $112732.27, Cash: $90341.72
2021-03-15 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $121.03
2021-03-16 16:00:00 2021-03-16 15:55:00 >> Portfolio Value: $113279.87, Cash: $90341.72
2021-03-16 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $123.99
2021-03-17 16:00:00 2021-03-17 15:55:00 >> Portfolio Value: $113572.17, Cash: $90341.72
2021-03-17 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $125.57
2021-03-18 16:00:00 2021-03-18 15:55:00 >> Portfolio Value: $113422.32, Cash: $90341.72
2021-03-18 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $124.76
2021-03-19 16:00:00 2021-03-19 15:55:00 >> Portfolio Value: $112639.77, Cash: $90341.72
2021-03-19 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $120.53
2021-03-22 16:00:00 2021-03-22 15:55:00 >> Portfolio Value: $112539.87, Cash: $90341.72
2021-03-22 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $119.99
2021-03-23 16:00:00 2021-03-23 15:55:00 >> Portfolio Value: $113168.87, Cash: $90341.72
2021-03-23 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $123.39
2021-03-24 16:00:00 2021-03-24 15:55:00 >> Portfolio Value: $113011.62, Cash: $90341.72
2021-03-24 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.54
2021-03-25 16:00:00 2021-03-25 15:55:00 >> Portfolio Value: $112558.37, Cash: $90341.72
2021-03-25 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $120.09
2021-03-26 16:00:00 2021-03-26 15:55:00 >> Portfolio Value: $112650.87, Cash: $90341.72
2021-03-26 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $120.59
2021-03-29 16:00:00 2021-03-29 15:55:00 >> Portfolio Value: $112765.57, Cash: $90341.72
2021-03-29 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $121.21
2021-03-30 16:00:00 2021-03-30 15:55:00 >> Portfolio Value: $112798.87, Cash: $90341.72
2021-03-30 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $121.39
2021-03-31 16:00:00 2021-03-31 15:55:00 >> Portfolio Value: $112523.22, Cash: $90341.72
2021-03-31 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $119.90
2021-04-01 16:00:00 2021-04-01 10:00:00 >> Monthly rebalancing to target allocations
2021-04-01 16:00:00 2021-04-01 10:00:00 >> Skipping MSFT: No data available.
2021-04-01 16:00:00 2021-04-01 10:00:00 >> Skipping XOM: No data available.
2021-04-01 16:00:00 2021-04-01 10:00:00 >> Skipping GOLD: No data available.
2021-04-01 16:00:00 2021-04-01 10:00:00 >> Skipping NEE: No data available.
2021-04-01 16:00:00 2021-04-01 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-01 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-05 16:00:00 2021-04-05 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-05 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-06 16:00:00 2021-04-06 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-06 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-07 16:00:00 2021-04-07 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-07 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-08 16:00:00 2021-04-08 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-08 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-09 16:00:00 2021-04-09 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-09 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-12 16:00:00 2021-04-12 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-12 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-13 16:00:00 2021-04-13 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-13 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-14 16:00:00 2021-04-14 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-14 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-15 16:00:00 2021-04-15 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-15 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-16 16:00:00 2021-04-16 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-16 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-19 16:00:00 2021-04-19 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-19 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-20 16:00:00 2021-04-20 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-20 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-21 16:00:00 2021-04-21 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-21 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-22 16:00:00 2021-04-22 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-22 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-23 16:00:00 2021-04-23 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-23 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-26 16:00:00 2021-04-26 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-26 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-27 16:00:00 2021-04-27 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-27 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-28 16:00:00 2021-04-28 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-28 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-29 16:00:00 2021-04-29 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-29 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-04-30 16:00:00 2021-04-30 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-04-30 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-05-03 16:00:00 2021-05-03 10:00:00 >> Monthly rebalancing to target allocations
2021-05-03 16:00:00 2021-05-03 10:00:00 >> Skipping MSFT: No data available.
2021-05-03 16:00:00 2021-05-03 10:00:00 >> Skipping XOM: No data available.
2021-05-03 16:00:00 2021-05-03 10:00:00 >> Skipping GOLD: No data available.
2021-05-03 16:00:00 2021-05-03 10:00:00 >> Skipping NEE: No data available.
2021-05-03 16:00:00 2021-05-03 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-05-03 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-05-04 16:00:00 2021-05-04 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-05-04 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-05-05 16:00:00 2021-05-05 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-05-05 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-05-06 16:00:00 2021-05-06 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-05-06 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-05-07 16:00:00 2021-05-07 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-05-07 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-05-10 16:00:00 2021-05-10 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-05-10 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
2021-05-11 16:00:00 2021-05-11 15:55:00 >> Portfolio Value: $112939.47, Cash: $90341.72
2021-05-11 16:00:00    AAPL: 185.0 shares, Avg Price: $91.43, Current: $122.15
